Rebuild evaluation against Tool_Post_10 (generated by eval_rebuild.py)
Noise floor of two independent triangulations of the SAME solid: ~0.2-0.6 mm

loaded 27 original parts in 4s

rebuilt 17 parts in 4s   recognised=True

=== as the app runs (bank contains Tool_Post_10 itself) ===
  family          source    part             pos_err  shape_cd  pose_cd
  machine_screw   copied    upload:2            0.00      0.41     0.35
  machine_screw   copied    upload:2            0.00      0.41     0.36
  machine_screw   copied    upload:2            0.00      0.43     0.36
  machine_screw   copied    upload:2            0.00      0.40     0.36
  ball            copied    upload:7            0.00      0.10     0.09
  ball            copied    upload:7            0.00      0.10     0.09
  bs4183_screw    copied    upload:9            0.00      0.39     0.33
  bs4183_screw    copied    upload:9            0.00      0.58     0.56
  din_washer      copied    upload:11           0.00      0.29     0.26
  din_washer      copied    upload:11           0.00      0.29     0.26
  compress_spring retrieved spring_Tool_Post_10    0.07      0.25     0.28
  compress_spring retrieved spring_Tool_Post_10    0.07      0.38     0.33
  compress_spring retrieved spring_Tool_Post_10    0.07      0.44     0.43
  compress_spring retrieved spring_Tool_Post_10    0.07      0.37     0.41
  shaft_central   retrieved part_011299         0.32      0.83     0.83
  shaft_side      retrieved part_011301         1.14      0.45     0.69
  knob            retrieved part_011302         2.93      0.54     1.44
  MEAN                                          0.27      0.39     0.44

rebuilt 17 parts in 2s   recognised=True

=== LEAVE-ONE-OUT (Tool_Post_10's own parts excluded from retrieval) ===
  family          source    part             pos_err  shape_cd  pose_cd
  machine_screw   copied    upload:2            0.00      0.41     0.35
  machine_screw   copied    upload:2            0.00      0.41     0.36
  machine_screw   copied    upload:2            0.00      0.43     0.36
  machine_screw   copied    upload:2            0.00      0.40     0.36
  ball            copied    upload:7            0.00      0.10     0.09
  ball            copied    upload:7            0.00      0.10     0.09
  bs4183_screw    copied    upload:9            0.00      0.39     0.33
  bs4183_screw    copied    upload:9            0.00      0.58     0.56
  din_washer      copied    upload:11           0.00      0.29     0.26
  din_washer      copied    upload:11           0.00      0.29     0.26
  compress_spring retrieved spring_Tool_Post_25    0.07      0.25     0.28
  compress_spring retrieved spring_Tool_Post_25    0.07      0.38     0.33
  compress_spring retrieved spring_Tool_Post_25    0.07      0.45     0.43
  compress_spring retrieved spring_Tool_Post_25    0.07      0.36     0.41
  shaft_central   retrieved part_011299         0.32      0.83     0.83
  shaft_side      retrieved part_011301         1.14      0.45     0.69
  knob            retrieved part_011302         2.93      0.54     1.44
  MEAN                                          0.27      0.39     0.44
