
============================================================
filter_models.py — 2026-06-20 14:13:57
Source: /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models
Thresholds: nodes > 20  edges > 60  timeout 120s
============================================================

Found 7048 assembly.json model(s).
Found 182 hand-crafted STEP model(s) (no assembly.json).

--- Phase 1: JSON-based filtering (7048 models) ---
  [1/7048] NODES>20 (64 bodies): 100112_bc0a563a → nodes_gt_20/
  [4/7048] NODES>20 (92 bodies): 105065_0b0d7804 → nodes_gt_20/
  [8/7048] NODES>20 (22 bodies): 108251_bcccb9dd → nodes_gt_20/
  [9/7048] NODES>20 (178 bodies): 109857_1d24326e → nodes_gt_20/
  [11/7048] NODES>20 (120 bodies): 112273_e1552c6c → nodes_gt_20/
  [13/7048] NODES>20 (24 bodies): 113368_210655c3 → nodes_gt_20/
  [15/7048] NODES>20 (39 bodies): 113835_cf320425 → nodes_gt_20/
  [17/7048] NODES>20 (35 bodies): 114425_891ab08d → nodes_gt_20/
  [21/7048] NODES>20 (50 bodies): 115786_e4499f95 → nodes_gt_20/
  [28/7048] NODES>20 (60 bodies): 121540_629c716f → nodes_gt_20/
  [29/7048] NODES>20 (37 bodies): 123401_73b57b14 → nodes_gt_20/
  [32/7048] NODES>20 (79 bodies): 127545_6fa39158 → nodes_gt_20/
  [33/7048] NODES>20 (31 bodies): 128050_2bab985c → nodes_gt_20/
  [36/7048] NODES>20 (22 bodies): 129421_483d2957 → nodes_gt_20/
  [37/7048] NODES>20 (115 bodies): 129428_edce5555 → nodes_gt_20/
  [39/7048] NODES>20 (153 bodies): 130093_18da9bca → nodes_gt_20/
  [40/7048] NODES>20 (29 bodies): 130365_d37d0b81 → nodes_gt_20/
  [42/7048] NODES>20 (52 bodies): 131100_0424791a → nodes_gt_20/
  [43/7048] NODES>20 (81 bodies): 131350_bbdad30d → nodes_gt_20/
  [44/7048] NODES>20 (54 bodies): 131395_085f7312 → nodes_gt_20/
  [45/7048] NODES>20 (32 bodies): 131711_b6dd09f7 → nodes_gt_20/
  [47/7048] NODES>20 (26 bodies): 131969_9e97c6e0 → nodes_gt_20/
  [52/7048] NODES>20 (24 bodies): 132581_e683b2ae → nodes_gt_20/
  [56/7048] NODES>20 (39 bodies): 134513_9d184eee → nodes_gt_20/
  [59/7048] NODES>20 (25 bodies): 135643_3ad56ced → nodes_gt_20/
  [63/7048] NODES>20 (60 bodies): 136891_4af46e9c → nodes_gt_20/
  [70/7048] NODES>20 (48 bodies): 139616_43234ab8 → nodes_gt_20/
  [71/7048] NODES>20 (37 bodies): 139661_105bb47a → nodes_gt_20/
  [72/7048] NODES>20 (21 bodies): 139665_4e8aac7d → nodes_gt_20/
  [74/7048] NODES>20 (88 bodies): 139796_515f80a8 → nodes_gt_20/
  [76/7048] NODES>20 (260 bodies): 139866_1209934f → nodes_gt_20/
  [77/7048] NODES>20 (137 bodies): 140413_44177109 → nodes_gt_20/
  [84/7048] NODES>20 (44 bodies): 144049_49d5d28c → nodes_gt_20/
  [86/7048] NODES>20 (23 bodies): 144534_3b4fdb09 → nodes_gt_20/
  [93/7048] NODES>20 (22 bodies): 145726_27898357 → nodes_gt_20/
  [96/7048] NODES>20 (34 bodies): 145879_bf41ef7a → nodes_gt_20/
  [99/7048] NODES>20 (69 bodies): 146226_5cf38887 → nodes_gt_20/
  [103/7048] NODES>20 (27 bodies): 146999_eea2e46a → nodes_gt_20/
  [104/7048] NODES>20 (31 bodies): 147581_111d626e → nodes_gt_20/
  [106/7048] NODES>20 (54 bodies): 20278_d442e77d → nodes_gt_20/
  [107/7048] NODES>20 (45 bodies): 20319_9f53cd7c → nodes_gt_20/
  [109/7048] NODES>20 (68 bodies): 20675_66ac9773 → nodes_gt_20/
  [112/7048] NODES>20 (25 bodies): 20870_dedaef5b → nodes_gt_20/
  [115/7048] NODES>20 (42 bodies): 21134_7aa7cd89 → nodes_gt_20/
  [116/7048] NODES>20 (116 bodies): 21244_24c3ce72 → nodes_gt_20/
  [117/7048] NODES>20 (92 bodies): 21244_d67bbabc → nodes_gt_20/
  [118/7048] NODES>20 (100 bodies): 21351_675c66b1 → nodes_gt_20/
  [120/7048] NODES>20 (21 bodies): 21352_d60bc953 → nodes_gt_20/
  [125/7048] NODES>20 (42 bodies): 21685_93737a7a → nodes_gt_20/
  [127/7048] NODES>20 (62 bodies): 22076_20e8a107 → nodes_gt_20/
  [129/7048] NODES>20 (23 bodies): 22085_e039a7d3 → nodes_gt_20/
  [132/7048] NODES>20 (22 bodies): 22245_ca848576 → nodes_gt_20/
  [133/7048] NODES>20 (33 bodies): 22298_51433023 → nodes_gt_20/
  [135/7048] NODES>20 (64 bodies): 22428_c1ffa51a → nodes_gt_20/
  [136/7048] NODES>20 (130 bodies): 22430_c6f08b03 → nodes_gt_20/
  [137/7048] NODES>20 (27 bodies): 22443_fa24c6f9 → nodes_gt_20/
  [141/7048] NODES>20 (104 bodies): 22617_a286f13c → nodes_gt_20/
  [142/7048] NODES>20 (49 bodies): 22630_b6010fff → nodes_gt_20/
  [146/7048] NODES>20 (42 bodies): 22852_dc1dbed6 → nodes_gt_20/
  [147/7048] NODES>20 (25 bodies): 23036_7f9d143f → nodes_gt_20/
  [149/7048] NODES>20 (35 bodies): 23123_f35404c4 → nodes_gt_20/
  [151/7048] NODES>20 (114 bodies): 23156_7788f78a → nodes_gt_20/
  [152/7048] NODES>20 (43 bodies): 23310_7daded69 → nodes_gt_20/
  [153/7048] NODES>20 (69 bodies): 23313_210c6783 → nodes_gt_20/
  [154/7048] NODES>20 (31 bodies): 23475_b14d1dc8 → nodes_gt_20/
  [155/7048] NODES>20 (40 bodies): 23542_b7fcb8f4 → nodes_gt_20/
  [157/7048] NODES>20 (68 bodies): 23876_74957d38 → nodes_gt_20/
  [158/7048] NODES>20 (90 bodies): 23900_065c2c79 → nodes_gt_20/
  [167/7048] NODES>20 (212 bodies): 24202_0db5d57a → nodes_gt_20/
  [172/7048] NODES>20 (28 bodies): 24308_89c2be2b → nodes_gt_20/
  [179/7048] NODES>20 (35 bodies): 24429_ace910b3 → nodes_gt_20/
  [182/7048] NODES>20 (51 bodies): 24548_a611c624 → nodes_gt_20/
  [188/7048] NODES>20 (44 bodies): 24920_51bb7cea → nodes_gt_20/
  [193/7048] NODES>20 (23 bodies): 25257_7bfa2776 → nodes_gt_20/
  [196/7048] NODES>20 (22 bodies): 25287_4e0c896d → nodes_gt_20/
  [199/7048] NODES>20 (27 bodies): 25287_b8ae84ad → nodes_gt_20/
  [202/7048] NODES>20 (26 bodies): 25287_c37b8c13 → nodes_gt_20/
  [205/7048] NODES>20 (23 bodies): 25337_423c48ac → nodes_gt_20/
  [211/7048] NODES>20 (82 bodies): 25420_7a418e01 → nodes_gt_20/
  [212/7048] NODES>20 (25 bodies): 25447_e6b5204c → nodes_gt_20/
  [216/7048] NODES>20 (37 bodies): 25464_7e27d057 → nodes_gt_20/
  [217/7048] NODES>20 (100 bodies): 25471_7f83f00b → nodes_gt_20/
  [218/7048] NODES>20 (36 bodies): 25482_23b75bd5 → nodes_gt_20/
  [222/7048] NODES>20 (27 bodies): 27682_04277f62 → nodes_gt_20/
  [223/7048] NODES>20 (47 bodies): 28936_71968a77 → nodes_gt_20/
  [225/7048] NODES>20 (40 bodies): 29933_3aefe67a → nodes_gt_20/
  [227/7048] NODES>20 (23 bodies): 31099_481b30db → nodes_gt_20/
  [228/7048] NODES>20 (21 bodies): 31100_d63b7b26 → nodes_gt_20/
  [230/7048] NODES>20 (55 bodies): 31282_05c4b783 → nodes_gt_20/
  [231/7048] NODES>20 (47 bodies): 31378_34c52a73 → nodes_gt_20/
  [232/7048] NODES>20 (61 bodies): 31495_ecc4c17c → nodes_gt_20/
  [237/7048] EDGES>60 (86 dir-edges): 35942_15af9085 → edges_gt_60/
  [240/7048] NODES>20 (39 bodies): 37442_5d12f8ed → nodes_gt_20/
  [241/7048] NODES>20 (31 bodies): 38396_3b96876b → nodes_gt_20/
  [243/7048] NODES>20 (70 bodies): 38840_0e449caf → nodes_gt_20/
  [245/7048] NODES>20 (204 bodies): 41948_c0d68e8c → nodes_gt_20/
  [246/7048] NODES>20 (26 bodies): 42203_33083e24 → nodes_gt_20/
  [247/7048] NODES>20 (38 bodies): 42688_09be2738 → nodes_gt_20/
  [249/7048] NODES>20 (134 bodies): 43172_bebbafc3 → nodes_gt_20/
  [251/7048] NODES>20 (70 bodies): 44373_0073c4fd → nodes_gt_20/
  [252/7048] NODES>20 (160 bodies): 44387_1618ffe6 → nodes_gt_20/
  [253/7048] NODES>20 (48 bodies): 44530_34f11745 → nodes_gt_20/
  [258/7048] NODES>20 (57 bodies): 47870_64cc3d62 → nodes_gt_20/
  [259/7048] NODES>20 (37 bodies): 49141_4dbe564e → nodes_gt_20/
  [262/7048] NODES>20 (86 bodies): 50823_d1830e58 → nodes_gt_20/
  [267/7048] NODES>20 (30 bodies): 51940_e06fee1b → nodes_gt_20/
  [272/7048] NODES>20 (31 bodies): 53232_f8760054 → nodes_gt_20/
  [273/7048] NODES>20 (56 bodies): 53590_a324861b → nodes_gt_20/
  [276/7048] NODES>20 (103 bodies): 55129_96245c46 → nodes_gt_20/
  [281/7048] NODES>20 (32 bodies): 60737_e4b1c57e → nodes_gt_20/
  [285/7048] NODES>20 (25 bodies): 70639_fceccc4a → nodes_gt_20/
  [289/7048] NODES>20 (24 bodies): 71504_6c2ae353 → nodes_gt_20/
  [292/7048] NODES>20 (215 bodies): 71833_9b2c8d39 → nodes_gt_20/
  [300/7048] NODES>20 (24 bodies): 76880_9bb28e72 → nodes_gt_20/
  [302/7048] NODES>20 (107 bodies): 78113_8d1cee7b → nodes_gt_20/
  [303/7048] NODES>20 (111 bodies): 78113_df39c641 → nodes_gt_20/
  [304/7048] NODES>20 (77 bodies): 78187_e4dcbbe8 → nodes_gt_20/
  [305/7048] NODES>20 (39 bodies): 78775_e2d8b091 → nodes_gt_20/
  [306/7048] NODES>20 (21 bodies): 78993_bcd98f5f → nodes_gt_20/
  [310/7048] NODES>20 (25 bodies): 79241_14f7881c → nodes_gt_20/
  [312/7048] NODES>20 (31 bodies): 80100_a2cb3616 → nodes_gt_20/
  [313/7048] NODES>20 (184 bodies): 80183_3adc2070 → nodes_gt_20/
  [315/7048] NODES>20 (63 bodies): 81227_f2ce5bb7 → nodes_gt_20/
  [317/7048] NODES>20 (23 bodies): 82166_d38439c3 → nodes_gt_20/
  [321/7048] NODES>20 (22 bodies): 82191_29cb4c44 → nodes_gt_20/
  [329/7048] NODES>20 (67 bodies): 82996_b8dc67c9 → nodes_gt_20/
  [330/7048] NODES>20 (69 bodies): 82996_efb46df2 → nodes_gt_20/
  [334/7048] NODES>20 (169 bodies): 87044_409f2ff1 → nodes_gt_20/
  [340/7048] NODES>20 (70 bodies): 98413_f0baae49 → nodes_gt_20/
  [341/7048] NODES>20 (37 bodies): 98488_cfd034d6 → nodes_gt_20/
  [349/7048] NODES>20 (53 bodies): 21093_1bda9bbe → nodes_gt_20/
  [384/7048] NODES>20 (50 bodies): 20792_d2ea0500 → nodes_gt_20/
  [461/7048] NODES>20 (42 bodies): 21134_7aa7cd89 → nodes_gt_20/
  [470/7048] NODES>20 (27 bodies): 22443_fa24c6f9 → nodes_gt_20/
  [473/7048] NODES>20 (104 bodies): 22617_a286f13c → nodes_gt_20/
  Progress: 500/7048 — nodes_mv: 134  edges_mv: 1
  [502/7048] NODES>20 (23 bodies): 25257_7bfa2776 → nodes_gt_20/
  [505/7048] NODES>20 (22 bodies): 25287_4e0c896d → nodes_gt_20/
  [508/7048] NODES>20 (27 bodies): 25287_b8ae84ad → nodes_gt_20/
  [511/7048] NODES>20 (26 bodies): 25287_c37b8c13 → nodes_gt_20/
  [682/7048] NODES>20 (43 bodies): 21982_bdafa78d → nodes_gt_20/
  [683/7048] NODES>20 (39 bodies): 21990_7bb6efcf → nodes_gt_20/
  [746/7048] NODES>20 (21 bodies): 23612_dd8e34c4 → nodes_gt_20/
  [760/7048] NODES>20 (21 bodies): 24213_1983ae2c → nodes_gt_20/
  [775/7048] NODES>20 (22 bodies): 24441_81a5987f → nodes_gt_20/
  [812/7048] NODES>20 (27 bodies): 25422_352534f4 → nodes_gt_20/
  [816/7048] NODES>20 (28 bodies): 25456_9e34edbf → nodes_gt_20/
  [826/7048] NODES>20 (28 bodies): 20668_b2f2633e → nodes_gt_20/
  [835/7048] NODES>20 (39 bodies): 23563_ce75caff → nodes_gt_20/
  [936/7048] NODES>20 (38 bodies): 22414_14ead4a3 → nodes_gt_20/
  [955/7048] NODES>20 (27 bodies): 24271_dbc0fd2d → nodes_gt_20/
  [979/7048] NODES>20 (44 bodies): 26553_bc82229b → nodes_gt_20/
  [980/7048] NODES>20 (26 bodies): 26643_987faf85 → nodes_gt_20/
  Progress: 1000/7048 — nodes_mv: 151  edges_mv: 1
  [1040/7048] NODES>20 (28 bodies): 20412_42170125 → nodes_gt_20/
  [1086/7048] NODES>20 (21 bodies): 28796_810887dd → nodes_gt_20/
  [1105/7048] NODES>20 (44 bodies): 25363_3f263d97 → nodes_gt_20/
  [1197/7048] NODES>20 (23 bodies): 25399_93a1afcd → nodes_gt_20/
  [1213/7048] NODES>20 (27 bodies): 21541_abc67be6 → nodes_gt_20/
  [1238/7048] NODES>20 (21 bodies): 24230_636208ab → nodes_gt_20/
  [1252/7048] NODES>20 (63 bodies): 101831_2478d1ce → nodes_gt_20/
  [1254/7048] NODES>20 (37 bodies): 102410_f9877a7b → nodes_gt_20/
  [1258/7048] NODES>20 (92 bodies): 105065_0b0d7804 → nodes_gt_20/
  [1260/7048] NODES>20 (140 bodies): 106637_a3b7cc4d → nodes_gt_20/
  [1261/7048] NODES>20 (102 bodies): 108012_72f3523e → nodes_gt_20/
  [1262/7048] NODES>20 (102 bodies): 108012_834cbeab → nodes_gt_20/
  [1263/7048] NODES>20 (92 bodies): 108012_e3d8f99c → nodes_gt_20/
  [1264/7048] NODES>20 (22 bodies): 108251_bcccb9dd → nodes_gt_20/
  [1269/7048] NODES>20 (125 bodies): 111698_28d1b5b3 → nodes_gt_20/
  [1271/7048] NODES>20 (48 bodies): 111863_c925f4f3 → nodes_gt_20/
  [1272/7048] NODES>20 (120 bodies): 112273_e1552c6c → nodes_gt_20/
  [1273/7048] NODES>20 (36 bodies): 113695_62f7c3cc → nodes_gt_20/
  [1276/7048] NODES>20 (39 bodies): 113835_cf320425 → nodes_gt_20/
  [1277/7048] NODES>20 (35 bodies): 114425_891ab08d → nodes_gt_20/
  [1280/7048] NODES>20 (44 bodies): 115257_0e775b19 → nodes_gt_20/
  [1284/7048] NODES>20 (75 bodies): 115798_edc9829b → nodes_gt_20/
  [1285/7048] NODES>20 (28 bodies): 116157_4a539cae → nodes_gt_20/
  [1292/7048] NODES>20 (180 bodies): 120069_0ebfe193 → nodes_gt_20/
  [1295/7048] NODES>20 (113 bodies): 123499_6a009716 → nodes_gt_20/
  [1298/7048] NODES>20 (108 bodies): 127202_42451722 → nodes_gt_20/
  [1301/7048] NODES>20 (56 bodies): 129010_4bd46fcf → nodes_gt_20/
  [1302/7048] NODES>20 (115 bodies): 129428_edce5555 → nodes_gt_20/
  [1304/7048] NODES>20 (153 bodies): 130093_18da9bca → nodes_gt_20/
  [1305/7048] NODES>20 (21 bodies): 130183_71b61321 → nodes_gt_20/
  [1306/7048] NODES>20 (29 bodies): 130365_d37d0b81 → nodes_gt_20/
  [1310/7048] NODES>20 (21 bodies): 131121_65919c61 → nodes_gt_20/
  [1311/7048] NODES>20 (54 bodies): 131395_085f7312 → nodes_gt_20/
  [1313/7048] NODES>20 (32 bodies): 131711_b6dd09f7 → nodes_gt_20/
  [1316/7048] NODES>20 (26 bodies): 131969_9e97c6e0 → nodes_gt_20/
  [1317/7048] NODES>20 (146 bodies): 131998_287fefc5 → nodes_gt_20/
  [1326/7048] NODES>20 (98 bodies): 134008_d46e42d8 → nodes_gt_20/
  [1327/7048] NODES>20 (28 bodies): 134582_7eb0e129 → nodes_gt_20/
  [1329/7048] NODES>20 (23 bodies): 134811_63ed1489 → nodes_gt_20/
  [1330/7048] NODES>20 (64 bodies): 134855_59332110 → nodes_gt_20/
  [1332/7048] NODES>20 (105 bodies): 134979_7857b2e0 → nodes_gt_20/
  [1333/7048] NODES>20 (48 bodies): 135066_6988a2eb → nodes_gt_20/
  [1338/7048] NODES>20 (25 bodies): 135643_3ad56ced → nodes_gt_20/
