Pre-scanning 773 assemblies with 90s timeout each …
  [1/773] OK  100029_94515530
  [2/773] OK  100252_bca3c30a
  [3/773] OK  100522_0d20ad65
  [4/773] OK  100797_b7eaa569
  [5/773] OK  100804_1147d10b
  [6/773] OK  101172_1d989ed5
  [7/773] OK  101446_95204330
  [8/773] OK  102094_38390d0f
  [9/773] OK  102591_18b2e222
  [10/773] OK  103109_9fc35fbd
  [11/773] OK  103139_c13cecc8
  [12/773] OK  104282_d9b744a2
  [13/773] OK  104542_10e9b817
  [14/773] OK  104635_e4d5942d
  [15/773] OK  105206_3445634c
  [16/773] OK  105278_909f3813
  [17/773] OK  105914_f2f441f2
  [18/773] OK  106308_83fe1907
  [19/773] OK  106316_fedc52a4
  [20/773] OK  106394_be05cd0f
  [21/773] OK  106398_d1ab964b
  [22/773] OK  106562_10f3d340
  [23/773] OK  106813_7376b13c
  [24/773] OK  108338_fefc4c68
  [25/773] OK  108599_347602af
  [26/773] OK  108848_1cf0deb3
  [27/773] OK  108849_6758eb4f
  [28/773] OK  108859_b179224c
  [29/773] OK  109003_503049e6
  [30/773] OK  109392_8152f0bf
  [31/773] OK  109654_dd21e392
  [32/773] OK  109843_b90835c0
  [33/773] OK  109862_ea256f3b
  [34/773] OK  110043_b73b8beb
  [35/773] OK  110427_2562e74b
  [36/773] OK  110627_d5d5516a
  [37/773] OK  110956_df981ed9
  [38/773] OK  111054_e45a0d40
  [39/773] OK  111237_40914f5f
  [40/773] OK  111257_05ceda77
  [41/773] OK  111587_1be306f7
  [42/773] OK  111780_f91d04d4
  [43/773] OK  112196_a70893c6
  [44/773] OK  112264_3aaef329
  [45/773] OK  112920_757c6713
  [46/773] OK  112928_03f271d6
  [47/773] OK  113342_d1c1386b
  [48/773] OK  113346_e29b9102
  [49/773] OK  113347_e83dbcac
  [50/773] OK  113364_10837c89
  [51/773] OK  113935_329e18e4
  [52/773] OK  114268_02a37578
  [53/773] OK  114270_c03fc2bd
  [54/773] OK  114349_2774708d
  [55/773] OK  114350_2b4d7166
  [56/773] OK  114428_979d39a1
  [57/773] OK  114429_70217b24
  [58/773] OK  114494_3830e115
  [59/773] OK  115106_ea7ec5dd
  [60/773] OK  115330_1c326f55
  [61/773] OK  115330_9ecfde8d
  [62/773] OK  115330_c9a71021
  [63/773] OK  115629_2e0a6d4c
  [64/773] OK  115799_96ad9a21
  [65/773] OK  116247_2d150add
  [66/773] OK  116267_5a83e78a
  [67/773] OK  116342_662b8406
  [68/773] OK  116412_efb57892
  [69/773] OK  116993_f19bc68f
  [70/773] OK  117454_9f5dfa93
  [71/773] OK  117461_f05701e0
  [72/773] OK  117684_0ff6dcb0
  [73/773] OK  117857_874d55dc
  [74/773] OK  118272_e097b7b7
  [75/773] OK  118422_197dd04d
  [76/773] OK  118427_e6d67c63
  [77/773] OK  118524_7274403f
  [78/773] OK  118617_9a4459c9
  [79/773] OK  119042_6214b260
  [80/773] OK  119531_053a045a
  [81/773] OK  119886_382e5a3f
  [82/773] OK  119899_edb93588
  [83/773] OK  119903_14d53edb
  [84/773] OK  119904_87c09b29
  [85/773] OK  119917_fc3018e0
  [86/773] OK  120213_95c8bc17
  [87/773] OK  120611_ba3c05b6
