
[1/4] Loading dataset …
Processing...
  Category filter: ['Bench_vice', 'C_Clamps', 'Pipe_vice', 'Gate_Valve', 'Press_Tool', 'Tool_Post', 'Crane_hook']
  749 STEP files after category filter
  Found 749 STEP file(s) in /Users/mbp/Documents/MTECH/Sem4/Individual_project/AI_Assisted_3D_Assembly_Design/AI-Assisted-3D-Assembly-Design/Source_3d_models/Best_models_for_training
  [1/749] [CACHED] Bench_Vice_02/Bench_Vice_02.STEP — 26 nodes
  [2/749] [CACHED] Bench_Vice_03/Bench_Vice_03.step — 18 nodes
  [3/749] [CACHED] Bench_Vice_04/Bench_Vice_04.STEP — 47 nodes
  [4/749] [CACHED] Bench_Vice_06/Bench_Vice_06.stp — 16 nodes
  [5/749] [CACHED] Bench_Vice_07/Bench_Vice_07.STEP — 12 nodes
  [6/749] [CACHED] Bench_Vice_08/Bench_Vice_08.step — 55 nodes
  [7/749] [CACHED] Bench_Vice_09/Bench_Vice_09.stp — 22 nodes
  [8/749] [SKIPPED] Bench_Vice_100/Bench_Vice_100.step (CACHED_ONLY=1, no cache entry)
  [9/749] [CACHED] Bench_Vice_101/Bench_Vice_101.stp — 11 nodes
  [10/749] [CACHED] Bench_Vice_102/Bench_Vice_102.stp — 56 nodes
  [11/749] [CACHED] Bench_Vice_103/Bench_Vice_103.stp — 20 nodes
  [12/749] [CACHED] Bench_Vice_104/Bench_Vice_104.stp — 52 nodes
  [13/749] [CACHED] Bench_Vice_105/Bench_Vice_105.step — 34 nodes
  [14/749] [CACHED] Bench_Vice_106/Bench_Vice_106.step — 31 nodes
  [15/749] [CACHED] Bench_Vice_107/Bench_Vice_107.stp — 24 nodes
  [16/749] [CACHED] Bench_Vice_108/Bench_Vice_108.stp — 23 nodes
  [17/749] [CACHED] Bench_Vice_109/Bench_Vice_109.step — 48 nodes
  [18/749] [CACHED] Bench_Vice_11/Bench_Vice_11.STEP — 20 nodes
  [19/749] [CACHED] Bench_Vice_110/Bench_Vice_110.step — 25 nodes
  [20/749] [CACHED] Bench_Vice_111/Bench_Vice_111.stp — 22 nodes
  [21/749] [CACHED] Bench_Vice_112/Bench_Vice_112.STEP — 21 nodes
  [22/749] [CACHED] Bench_Vice_113/Bench_Vice_113.step — 19 nodes
  [23/749] [CACHED] Bench_Vice_114/Bench_Vice_114.STEP — 19 nodes
  [24/749] [CACHED] Bench_Vice_115/Bench_Vice_115.stp — 57 nodes
  [25/749] [CACHED] Bench_Vice_116/Bench_Vice_116.STEP — 27 nodes
  [26/749] [CACHED] Bench_Vice_117/Bench_Vice_117.stp — 6 nodes
  [27/749] [CACHED] Bench_Vice_118/Bench_Vice_118.STEP — 279 nodes
  [28/749] [CACHED] Bench_Vice_119/Bench_Vice_119.stp — 32 nodes
  [29/749] [CACHED] Bench_Vice_12/Bench_Vice_12.stp — 31 nodes
  [30/749] [CACHED] Bench_Vice_120/Bench_Vice_120.stp — 72 nodes
  [31/749] [CACHED] Bench_Vice_121/Bench_Vice_121.stp — 28 nodes
  [32/749] [CACHED] Bench_Vice_122/Bench_Vice_122.step — 70 nodes
  [33/749] [CACHED] Bench_Vice_123/Bench_Vice_123.stp — 133 nodes
  [34/749] [CACHED] Bench_Vice_124/Bench_Vice_124.stp — 24 nodes
  [35/749] [CACHED] Bench_Vice_125/Bench_Vice_125.stp — 22 nodes
  [36/749] [CACHED] Bench_Vice_126/Bench_Vice_126.stp — 25 nodes
  [37/749] [CACHED] Bench_Vice_127/Bench_Vice_127.stp — 2 nodes
  [38/749] [CACHED] Bench_Vice_128/Bench_Vice_128.stp — 15 nodes
  [39/749] [CACHED] Bench_Vice_129/Bench_Vice_129.STEP — 34 nodes
  [40/749] [CACHED] Bench_Vice_13/Bench_Vice_13.STEP — 27 nodes
  [41/749] [CACHED] Bench_Vice_130/Bench_Vice_130.stp — 47 nodes
  [42/749] [CACHED] Bench_Vice_131/Bench_Vice_131.STEP — 12 nodes
  [43/749] [CACHED] Bench_Vice_132/Bench_Vice_132.STEP — 36 nodes
  [44/749] [CACHED] Bench_Vice_133/Bench_Vice_133.STEP — 53 nodes
  [45/749] [CACHED] Bench_Vice_134/Bench_Vice_134.STEP — 16 nodes
  [46/749] [SKIPPED] Bench_Vice_135/Bench_Vice_135.stp (CACHED_ONLY=1, no cache entry)
  [47/749] [CACHED] Bench_Vice_136/Bench_Vice_136.stp — 50 nodes
  [48/749] [CACHED] Bench_Vice_14/Bench_Vice_14.STEP — 24 nodes
  [49/749] [CACHED] Bench_Vice_17/Bench_Vice_17.STEP — 25 nodes
  [50/749] [CACHED] Bench_Vice_18/Bench_Vice_18.stp — 7 nodes
  [51/749] [CACHED] Bench_Vice_20/Bench_Vice_20.stp — 21 nodes
  [52/749] [CACHED] Bench_Vice_21/Bench_Vice_21.STEP — 12 nodes
  [53/749] [CACHED] Bench_Vice_22/Bench_Vice_22.stp — 22 nodes
  [54/749] [CACHED] Bench_Vice_23/Bench_Vice_23.stp — 27 nodes
  [55/749] [CACHED] Bench_Vice_26/Bench_Vice_26.step — 17 nodes
  [56/749] [CACHED] Bench_Vice_27/Bench_Vice_27.stp — 10 nodes
  [57/749] [CACHED] Bench_Vice_28/Bench_Vice_28.stp — 46 nodes
  [58/749] [CACHED] Bench_Vice_31/Bench_Vice_31.stp — 20 nodes
